,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
33,13.574000000000002,-354.492,-66.016,61.426,60.547,-61.914,86.719,3.2230000000000003,42.383,80.566,134.863,-480.859,-66.211,-467.09,-248.047,54.395,207.422,-106.543,87.695,0,1,0,0
34,7.813,-364.844,-71.289,39.355,58.105,-63.574,87.5,1.855,41.992,77.24600000000002,133.105,-484.082,-60.352,-469.629,-238.574,39.355,198.633,-110.938,83.398,0,1,0,0
35,-13.574000000000002,-396.387,-90.137,7.0310000000000015,45.898,-52.148,77.051,-22.266,44.434,54.004,117.383,-503.223,-63.965,-495.41,-257.91,9.766,177.34400000000005,-132.91,63.867,0,1,0,0
36,-34.082,-421.484,-105.078,-11.719,33.496,-36.523,60.84,-38.086,40.527,38.574,95.898,-530.078,-61.719,-515.5269999999998,-287.695,4.004,163.281,-151.66,46.289,0,1,0,0
37,-34.375,-430.762,-98.828,-19.531,35.84,-37.207,59.082,-48.73,42.676,32.715,84.18,-529.1990000000002,-48.535,-508.105,-290.625,4.199,165.332,-155.859,38.77,0,1,0,0
38,-44.238,-453.223,-117.187,-42.09,31.445,-35.352,54.199,-65.918,39.844,18.652,82.91,-548.438,-31.934,-529.688,-287.207,-19.531,154.004,-168.16400000000004,24.512,0,1,0,0
39,-49.219,-457.617,-134.375,-46.191,28.613000000000003,-35.352,54.688,-66.211,45.117,18.945,71.777,-548.535,-32.617,-533.887,-287.207,-24.805,149.805,-171.19099999999997,26.953000000000007,0,1,0,0
40,-34.277,-431.836,-110.059,-22.266,42.773,-49.805,68.652,-47.65600000000001,49.707,36.328,97.07,-531.1519999999998,-36.035,-518.359,-276.855,-4.98,166.699,-150.684,47.363,0,1,0,0
41,-16.895,-407.91,-90.625,2.246,54.492,-59.277,87.402,-26.27,62.305,58.789,115.723,-523.145,-48.633,-506.152,-259.082,14.648,183.008,-129.19899999999998,69.434,0,1,0,0
42,-8.203,-390.625,-85.93700000000003,21.191,57.03100000000001,-59.375,94.727,-11.425999999999998,63.184,70.605,124.023,-510.059,-50.78100000000001,-490.43,-245.41,27.344,188.574,-121.289,80.566,0,1,0,0
43,3.2230000000000003,-367.871,-73.535,49.023,61.426,-63.28100000000001,101.563,2.246,60.645,75.195,132.422,-495.215,-52.148,-463.965,-221.094,45.996,200.488,-109.082,93.262,0,1,0,0
44,7.91,-361.914,-69.824,41.602,59.277,-63.184,97.559,5.273,53.809,75.0,141.99200000000005,-478.711,-74.219,-454.98,-222.266,50.39100000000001,199.512,-109.082,91.895,0,1,0,0
45,-9.473,-390.234,-89.648,12.988,42.09,-48.438,74.414,-14.062,39.844,56.934,118.066,-499.805,-75.977,-484.961,-255.762,26.855,179.688,-132.129,67.48,0,1,0,0
46,-29.492,-418.164,-109.863,-8.594,28.516,-31.836,60.547,-32.227,38.477,43.066,96.094,-520.703,-69.824,-513.184,-275.098,2.539,162.109,-152.734,51.562,0,1,0,0
47,-42.285,-437.98800000000006,-121.094,-24.512,25.098000000000006,-26.172,58.984,-38.672,47.46100000000001,36.328,70.312,-546.289,-70.703,-533.105,-282.715,-12.012,154.687,-160.84,46.582,0,1,0,0
48,-55.859,-460.449,-126.758,-46.094,27.637,-30.859,49.414,-62.012,41.504,15.332,36.914,-564.941,-70.41,-533.105,-296.582,-34.082,144.238,-173.63299999999995,27.832,0,1,0,0
49,-63.965,-466.699,-121.68,-51.855,27.344,-33.887,49.316,-66.895,46.289,12.988,33.691,-568.262,-58.496,-537.5,-297.559,-30.859,140.52700000000002,-177.53900000000004,26.953000000000007,0,1,0,0
50,-34.961,-428.906,-115.723,-16.699,35.352,-41.895,73.242,-35.254,62.402,42.578,97.754,-535.352,-34.863,-510.254,-268.164,4.59,165.137,-153.02700000000004,56.64100000000001,0,1,0,0
51,-12.402,-399.902,-96.973,10.352,48.535,-52.637,84.961,-12.5,60.15600000000001,61.523,128.32,-517.969,-45.02,-489.355,-257.812,26.367,183.691,-131.836,73.535,0,1,0,0
