,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,output_rf,output_rb,output_lf,output_lb
37,78.223,-344.629,143.75,96.094,5.273,-11.621,30.664,-83.691,51.855,21.973000000000006,95.02,-525.0980000000002,-11.23,-456.543,-499.023,4.883,168.262,78.027,36.426,1,0,0,0
38,102.441,-315.43,165.03900000000004,123.145,20.703000000000007,-23.828000000000007,52.246,-63.379,62.598,42.285,132.91,-509.473,-17.578,-437.793,-478.418,30.469,188.086,101.855,57.813,1,0,0,0
39,111.133,-298.828,175.195,138.77,22.363000000000003,-24.219,58.398,-52.051,64.355,52.93,138.965,-494.629,-40.625,-425.293,-479.883,42.969,193.652,108.691,67.87100000000001,1,0,0,0
40,124.023,-272.754,187.793,162.207,27.832,-31.055,71.582,-29.492,73.828,72.168,142.773,-460.156,-55.859,-394.922,-462.793,61.035,204.883,122.07,87.20700000000002,1,0,0,0
41,122.461,-271.289,186.621,160.938,24.805,-30.176,64.551,-28.906,62.012,68.75,141.69899999999996,-463.574,-60.15600000000001,-391.11300000000006,-465.43,54.883,202.832,119.238,80.273,1,0,0,0
42,103.32,-299.902,169.238,134.961,9.766,-15.625,41.01600000000001,-55.273,46.289,46.777,121.484,-495.41,-53.809,-421.191,-494.141,32.422,184.082,96.973,53.51600000000001,1,0,0,0
43,84.961,-323.242,147.363,117.383,-4.59,1.758,24.609,-78.223,40.234,31.152,82.617,-511.426,-52.832,-436.816,-512.891,17.969,169.62900000000005,76.953,35.156,1,0,0,0
44,81.055,-337.695,146.387,103.906,-3.418,2.051,19.629,-98.34,40.82,14.550999999999998,92.969,-526.0740000000002,-34.766,-452.93,-520.898,0.879,166.699,69.434,23.73,1,0,0,0
45,71.484,-361.426,131.055,78.418,-5.664,3.809,17.48,-113.965,44.53100000000001,0.293,91.797,-554.395,-20.703000000000007,-480.273,-522.266,-18.75,156.738,58.887,10.645,1,0,0,0
46,68.359,-365.332,129.49200000000002,74.902,-5.176,-0.684,19.727,-120.02,48.535,-2.148,95.41,-557.715,-15.723,-484.668,-525.879,-19.824,154.59,56.64100000000001,8.691,1,0,0,0
47,88.281,-333.594,150.488,105.273,9.18,-15.332,37.598,-97.168,55.859,16.992,109.961,-524.414,-15.723,-452.832,-503.61300000000006,7.324,175.488,78.516,29.297,1,0,0,0
48,109.473,-300.879,170.50799999999995,136.13299999999998,24.023000000000003,-27.148000000000003,51.66,-74.609,60.254,36.914,133.00799999999998,-500.586,-22.168000000000006,-430.566,-479.102,27.93,195.703,99.902,47.07,1,0,0,0
